;fips;year;temp
0;1;1895;61.641666666666666
1;1;1896;64.26666666666667
2;1;1897;64.19166666666666
3;1;1898;62.98333333333333
4;1;1899;63.1
5;1;1900;63.40833333333333
6;1;1901;61.391666666666666
7;1;1902;63.583333333333336
8;1;1903;61.975
9;1;1904;62.766666666666666
10;1;1905;62.63333333333333
11;1;1906;63.275
12;1;1907;63.725
13;1;1908;64.04166666666667
14;1;1909;63.85
15;1;1910;62.66666666666666
16;1;1911;65.325
17;1;1912;62.11666666666667
18;1;1913;63.60833333333333
19;1;1914;62.83333333333333
20;1;1915;63.2
21;1;1916;63.44166666666666
22;1;1917;61.85
23;1;1918;63.78333333333333
24;1;1919;64.09166666666667
25;1;1920;62.3
26;1;1921;65.70833333333333
27;1;1922;65.16666666666666
28;1;1923;63.41666666666666
29;1;1924;62.25
30;1;1925;64.95833333333333
31;1;1926;62.9
32;1;1927;65.58333333333333
33;1;1928;62.48333333333333
34;1;1929;63.43333333333334
35;1;1930;63.266666666666666
36;1;1931;64.05
37;1;1932;64.01666666666667
38;1;1933;65.1
39;1;1934;63.4
40;1;1935;63.575
41;1;1936;63.80833333333334
42;1;1937;63.391666666666666
43;1;1938;64.54166666666667
44;1;1939;63.875
45;1;1940;61.175
46;1;1941;63.6
47;1;1942;62.5
48;1;1943;63.24166666666667
49;1;1944;63.60833333333333
50;1;1945;63.85
51;1;1946;64.10833333333333
52;1;1947;62.65
53;1;1948;63.4
54;1;1949;64.225
55;1;1950;63.11666666666667
56;1;1951;63.766666666666666
57;1;1952;63.35
58;1;1953;63.75833333333333
59;1;1954;64.175
60;1;1955;63.43333333333333
61;1;1956;63.583333333333336
62;1;1957;63.95
63;1;1958;61.21666666666667
64;1;1959;62.95
65;1;1960;61.54166666666666
66;1;1961;61.93333333333334
67;1;1962;63.05
68;1;1963;61.725
69;1;1964;62.391666666666666
70;1;1965;63.00833333333333
71;1;1966;61.641666666666666
72;1;1967;61.91666666666666
73;1;1968;61.0
74;1;1969;61.36666666666667
75;1;1970;62.11666666666667
76;1;1971;62.68333333333334
77;1;1972;62.958333333333336
78;1;1973;63.05833333333334
79;1;1974;63.1
80;1;1975;62.825
81;1;1976;60.675
82;1;1977;62.458333333333336
83;1;1978;61.86666666666667
84;1;1979;61.35833333333333
85;1;1980;62.46666666666667
86;1;1981;61.98333333333333
87;1;1982;63.34166666666667
88;1;1983;61.19166666666666
89;1;1984;62.81666666666666
90;1;1985;62.79166666666666
91;1;1986;64.09166666666667
92;1;1987;63.04166666666666
93;1;1988;62.075
94;1;1989;62.2
95;1;1990;64.91666666666667
96;1;1991;63.958333333333336
97;1;1992;62.10833333333333
98;1;1993;62.325
99;1;1994;63.05
100;1;1995;63.03333333333333
101;1;1996;62.125
102;1;1997;62.36666666666667
103;1;1998;65.125
104;1;1999;64.14166666666667
105;1;2000;63.56666666666666
106;1;2001;63.03333333333333
107;1;2002;63.575
108;1;2003;62.73333333333333
109;1;2004;63.333333333333336
110;1;2005;63.391666666666666
111;1;2006;64.2
112;1;2007;64.4
113;1;2008;62.91666666666667
114;1;2009;62.90833333333333
115;1;2010;62.708333333333336
116;1;2011;63.833333333333336
117;1;2012;64.91666666666667
118;1;2013;62.6
119;1;2014;62.03333333333333
120;1;2015;64.61666666666666
121;1;2016;65.34166666666667
122;1;2017;65.03333333333333
123;1;2018;64.45
124;1;2019;65.375
125;4;1895;58.49166666666667
126;4;1896;59.98333333333333
127;4;1897;58.625
128;4;1898;59.016666666666666
129;4;1899;59.16666666666666
130;4;1900;60.06666666666666
131;4;1901;59.94166666666666
132;4;1902;59.65
133;4;1903;58.99166666666667
134;4;1904;59.65
135;4;1905;58.78333333333333
136;4;1906;59.016666666666666
137;4;1907;59.45
138;4;1908;58.725
139;4;1909;58.45833333333333
140;4;1910;61.18333333333333
141;4;1911;58.775
142;4;1912;57.2
143;4;1913;57.48333333333333
144;4;1914;59.91666666666666
145;4;1915;58.21666666666667
146;4;1916;58.78333333333333
147;4;1917;58.65833333333333
148;4;1918;58.81666666666666
149;4;1919;58.083333333333336
150;4;1920;57.79166666666666
151;4;1921;59.925
152;4;1922;58.625
153;4;1923;57.85833333333333
154;4;1924;58.61666666666667
155;4;1925;59.1
156;4;1926;59.60833333333333
157;4;1927;59.53333333333333
158;4;1928;59.63333333333333
159;4;1929;58.53333333333333
160;4;1930;58.53333333333333
161;4;1931;59.21666666666667
162;4;1932;58.38333333333333
163;4;1933;58.75
164;4;1934;61.73333333333333
165;4;1935;59.0
166;4;1936;60.30833333333334
167;4;1937;59.125
168;4;1938;59.30833333333333
169;4;1939;59.641666666666666
170;4;1940;60.85
171;4;1941;58.16666666666666
172;4;1942;59.175
173;4;1943;60.48333333333333
174;4;1944;57.99166666666667
175;4;1945;58.516666666666666
176;4;1946;59.30833333333334
177;4;1947;59.34166666666667
178;4;1948;58.55833333333334
179;4;1949;58.16666666666666
